City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Yenagoa,NG,2021-10-14 23:40:48,4.9247,6.2642,75.6,94,28,3.51
229,Okha,RU,2021-10-14 23:40:49,53.5739,142.9478,36.39,78,100,21.56
230,Verkhneuralsk,RU,2021-10-14 23:40:49,53.8769,59.2106,34.0,74,100,5.53
231,Katsuura,JP,2021-10-14 23:40:49,35.1333,140.3,68.14,67,0,4.92
232,Straumen,NO,2021-10-14 23:40:50,63.8709,11.2999,46.4,74,100,19.51
233,Choya,RU,2021-10-14 23:40:50,52.0108,86.5467,30.42,94,5,2.93
234,Fukue,JP,2021-10-14 23:40:51,32.6881,128.8419,71.96,94,40,6.91
235,San Luis,AR,2021-10-14 23:40:51,-33.295,-66.3356,48.52,46,14,14.81
236,Krasnoselkup,RU,2021-10-14 23:40:52,65.7,82.4667,39.0,96,100,23.53
237,Ayan,RU,2021-10-14 23:40:52,56.45,138.1667,28.56,48,75,12.1
238,Los Llanos De Aridane,ES,2021-10-14 23:40:53,28.6585,-17.9182,69.55,78,90,8.05
239,Aklavik,CA,2021-10-14 23:40:53,68.2191,-135.0107,32.0,86,90,6.91
240,Broome,US,2021-10-14 23:40:53,42.2506,-75.833,66.58,66,1,3.44
241,Severo-Kurilsk,RU,2021-10-14 23:40:54,50.6789,156.125,46.47,97,100,10.63
242,Suining,CN,2021-10-14 23:40:54,30.508,105.5733,58.39,79,100,6.8
243,Saint George,US,2021-10-14 23:37:36,37.1041,-113.5841,70.63,26,1,4.0
244,Komsomolskiy,UZ,2021-10-14 23:40:55,40.4272,71.7189,50.72,50,0,11.5
245,Lorengau,PG,2021-10-14 23:40:55,-2.0226,147.2712,86.23,68,50,7.81
246,Bodden Town,KY,2021-10-14 23:40:56,19.2833,-81.25,82.92,84,20,1.01
247,Airai,TL,2021-10-14 23:40:56,-8.9266,125.4092,72.23,60,96,0.92
248,Poum,NC,2021-10-14 23:40:56,-20.2333,164.0167,74.95,71,31,11.99
249,Buluang,PH,2021-10-14 23:40:57,13.3068,123.3425,78.76,89,94,1.16
250,Neepawa,CA,2021-10-14 23:36:12,50.2289,-99.4664,44.82,83,100,12.64
251,Orange,US,2021-10-14 23:40:58,33.7,-117.7675,86.88,30,1,3.0
252,College,US,2021-10-14 23:37:03,64.8569,-147.8028,33.75,72,75,0.0
253,Taoudenni,ML,2021-10-14 23:40:58,22.6783,-3.9836,88.16,12,10,7.31
254,Miri,MY,2021-10-14 23:40:59,4.4148,114.0089,78.94,94,20,3.44
255,Catamarca,AR,2021-10-14 23:40:59,-28.4696,-65.7852,74.59,69,73,17.56
256,Hofn,IS,2021-10-14 23:40:59,64.2539,-15.2082,42.04,43,31,10.07
257,Biak,ID,2021-10-14 23:41:00,-0.9131,122.8766,81.28,75,23,4.36
258,Musoma,TZ,2021-10-14 23:41:01,-1.5,33.8,72.37,68,93,7.63
259,Kavaratti,IN,2021-10-14 23:41:01,10.5669,72.642,81.41,82,55,3.56
260,Akyab,MM,2021-10-14 23:41:02,20.15,92.9,79.56,90,100,5.59
261,Bambanglipuro,ID,2021-10-14 23:41:03,-7.95,110.2833,78.75,72,90,5.55
262,Kiunga,PG,2021-10-14 23:41:03,-6.1219,141.2906,84.87,67,87,2.04
263,Kendari,ID,2021-10-14 23:41:03,-3.945,122.4989,79.03,81,100,2.84
264,Guerrero Negro,MX,2021-10-14 23:41:04,27.9769,-114.0611,73.33,47,0,11.92
265,Barcelos,PT,2021-10-14 23:41:04,41.5388,-8.6151,63.91,49,73,2.73
266,Chokurdakh,RU,2021-10-14 23:38:46,70.6333,147.9167,9.48,97,100,1.79
267,Nanakuli,US,2021-10-14 23:41:05,21.3906,-158.1547,84.15,73,90,10.36
268,Kushiro,JP,2021-10-14 23:41:06,42.975,144.3747,58.15,94,75,4.61
269,Beaufort,MY,2021-10-14 23:39:20,5.3473,115.7455,78.96,76,81,2.13
270,Asau,RO,2021-10-14 23:41:06,46.4333,26.4,42.4,91,100,1.59
271,Keti Bandar,PK,2021-10-14 23:41:07,24.1447,67.4497,79.72,57,0,10.49
272,Vila,PT,2021-10-14 23:41:07,42.0304,-8.1588,53.33,86,74,2.51
273,Nikolskoye,RU,2021-10-14 23:41:08,59.7035,30.7861,40.89,77,42,4.54
274,Grand-Santi,GF,2021-10-14 23:41:08,4.25,-54.3833,75.6,78,91,3.58
275,Vao,NC,2021-10-14 23:41:09,-22.6667,167.4833,69.49,75,99,14.47
276,Tiksi,RU,2021-10-14 23:41:09,71.6872,128.8694,8.74,95,100,7.16
277,Saint-Augustin,CA,2021-10-14 23:41:10,51.226,-58.6502,48.06,77,88,11.74
278,Banapur,IN,2021-10-14 23:41:10,19.7833,85.1833,78.98,89,100,6.6
279,Acajutla,SV,2021-10-14 23:41:11,13.5928,-89.8275,89.94,81,70,6.8
280,Wuzhou,CN,2021-10-14 23:41:12,23.4833,111.3167,66.63,82,87,4.05
281,Padang,ID,2021-10-14 23:41:12,-0.9492,100.3543,71.65,79,100,3.22
282,Aykhal,RU,2021-10-14 23:41:12,66.0,111.5,0.1,99,77,8.81
283,Nouadhibou,MR,2021-10-14 23:41:13,20.931,-17.0347,67.98,88,57,19.57
284,Hit,IQ,2021-10-14 23:41:14,33.6416,42.8251,81.77,26,59,6.58
285,Vershino-Darasunskiy,RU,2021-10-14 23:41:14,52.35,115.5167,15.8,68,100,13.73
286,Muros,ES,2021-10-14 23:41:15,42.7762,-9.0603,60.84,65,37,3.04
287,Constitucion,CL,2021-10-14 23:41:15,-35.3333,-72.4167,48.72,74,4,14.23
288,Vieksniai,LT,2021-10-14 23:41:16,56.2333,22.5167,45.37,93,100,13.76
289,Puerto Escondido,MX,2021-10-14 23:39:06,15.85,-97.0667,86.83,62,40,10.36
290,Iwanai,JP,2021-10-14 23:41:16,42.9744,140.5089,58.73,84,99,9.48
291,Ipixuna,BR,2021-10-14 23:41:17,-1.7625,-48.8043,84.15,73,67,8.81
292,Durgeli,RU,2021-10-14 23:41:17,42.667,47.2944,45.86,87,82,1.07
293,Eagle Pass,US,2021-10-14 23:37:24,28.7091,-100.4995,91.98,47,1,10.36
294,Mana,GF,2021-10-14 23:41:18,5.6592,-53.7767,79.52,85,56,10.74
