City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
529,La Union,PE,81.1,overcast clouds,-5.4,-80.75,Los Portales
535,Vangaindrano,MG,71.24,light rain,-23.35,47.6,Hotel Fanilo
538,Am Timan,TD,78.8,light rain,11.0297,20.2827,Palais du chef Canton Salamt
541,Great Bend,US,71.89,clear sky,38.3645,-98.7648,Best Western Angus Inn
544,Vila Franca Do Campo,PT,72.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
546,Canico,PT,75.7,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
550,Hobyo,SO,78.91,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
553,Ambulu,ID,77.47,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
554,Guaraniacu,BR,70.25,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
555,Arenapolis,BR,83.75,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
559,Vila Do Maio,CV,83.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
562,Hambantota,LK,80.19,broken clouds,6.1241,81.1185,Bungalow 63
565,Moerai,PF,77.34,clear sky,-22.4333,-151.3333,Le Manotel
566,Nouadhibou,MR,71.37,few clouds,20.930999999999997,-17.0347,El Medina
569,Santa Isabel,BR,73.11,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
570,Mutis,CO,80.42,moderate rain,6.2262,-77.4044,Paraiso Escondido
574,Los Llanos De Aridane,ES,73.13,volcanic ash,28.6585,-17.9182,Valle Aridane
575,Leon Valley,US,75.04,clear sky,29.4952,-98.6186,Days Inn by Wyndham San Antonio Northwest/Seaworld
579,Gat,IL,72.81,overcast clouds,31.61,34.7642,OlusHome
580,Sal Rei,CV,80.8,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
586,Padang,ID,79.14,overcast clouds,-0.9492,100.3543,Mercure Padang
592,Bourail,NC,72.27,broken clouds,-21.5667,165.4833,Motel Allamanda
597,Jibuti,DJ,81.82,clear sky,11.5,42.5,Orchid Main Camp Goubet
600,Hurricane,US,71.71,clear sky,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
602,Aguimes,ES,71.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
603,Sulangan,PH,82.2,few clouds,11.1373,123.7228,Maia's Beach Resort
612,Umm Lajj,SA,83.8,clear sky,25.0213,37.2685,Moon light Furnished Units
617,Ridgecrest,US,79.16,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
619,San Juan,AR,75.63,clear sky,-31.5375,-68.5364,Hotel Provincial
622,Honiara,SB,75.67,broken clouds,-9.4333,159.95,Heritage Park Hotel
623,Clovis,US,87.48,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
625,Maningrida,AU,80.49,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
630,Masvingo,ZW,79.75,clear sky,-20.0637,30.8277,River Side Lodge
632,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
634,Santa Catarina De Tepehuanes,MX,71.96,scattered clouds,25.35,-105.7333,hotel plaza
636,Gushikawa,JP,75.2,broken clouds,26.3544,127.8686,Kirari Guest House
640,Urubamba,PE,77.9,overcast clouds,-13.3047,-72.1158,"Tambo del Inka, a Luxury Collection Resort & Spa, Valle Sagrado"
643,Gafargaon,BD,82.38,overcast clouds,24.4333,90.5667,গফরগাঁও ধামাইল ঢালীবাড়ী
646,Villamontes,BO,76.77,broken clouds,-21.25,-63.5,Hotel Raldes
653,Daru,PG,78.31,overcast clouds,-9.0763,143.2092,Daru Lodge
654,Awbari,LY,76.14,clear sky,26.5921,12.7805,فندق أوباري
655,Harlingen,US,76.32,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
663,Salina,US,71.02,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
665,Banting,MY,80.74,overcast clouds,2.8167,101.5,Hotel Intan Jugra
668,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
669,El Alto,PE,71.26,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
671,Venado Tuerto,AR,70.79,clear sky,-33.7456,-61.9688,Hotel - Miro Park
672,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
673,Wanning,CN,75.81,overcast clouds,18.8003,110.3967,Paradise Hotel
676,Mandal,IN,75.83,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
677,Quatre Cocos,MU,74.08,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
681,Itacare,BR,82.29,broken clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
691,Nova Granada,BR,86.25,broken clouds,-20.5339,-49.3142,Casa do maikão
696,Luau,AO,72.68,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
697,Grafton,US,74.95,few clouds,42.207,-71.6856,The Grafton Inn
700,Kimbe,PG,76.17,light rain,-5.5502,150.1429,Kimbe Bay Hotel
701,Libertador General San Martin,AR,71.98,few clouds,-23.8064,-64.7876,Posada del Sol
